Epoch,Train AUC,Test AUC
0,0.5256304,0.51764786
100,0.72329646,0.70338994
200,0.7760304,0.75474936
300,0.806069,0.7844571
400,0.82584065,0.80425036
500,0.8399103,0.81843936
600,0.8503987,0.8291024
700,0.8584987,0.8373857
800,0.8649252,0.8439671
900,0.87014264,0.84935087
1000,0.87441456,0.8537816
1100,0.8779774,0.8574979
1200,0.8810139,0.8606643
1300,0.8836182,0.8634239
1400,0.88588417,0.86584306
1500,0.8878485,0.8679398
1600,0.8895823,0.86983305
1700,0.8911188,0.8714928
1800,0.8924809,0.8729907
1900,0.8937128,0.8743453
2000,0.894824,0.87558216
2100,0.89584005,0.8767101
2200,0.8967676,0.87776166
2300,0.8976035,0.87872523
2400,0.8983732,0.8795888
2500,0.8990737,0.8804036
2600,0.8997184,0.88114744
2700,0.90031326,0.8818476
2800,0.90086895,0.8824932
2900,0.90137106,0.88310605
3000,0.90184146,0.8836654
3100,0.9022673,0.88420194
3200,0.9026759,0.88469046
3300,0.9030413,0.88514143
3400,0.90338564,0.88557047
3500,0.90370816,0.8859617
3600,0.90399647,0.8863365
3700,0.9042607,0.8866832
3800,0.9045073,0.8870154
3900,0.9047331,0.88730705
4000,0.9049443,0.88760424
