Epoch,Train AUC,Test AUC
0,0.55197155,0.54449093
100,0.7756085,0.7609053
200,0.81320846,0.7980608
300,0.83369505,0.8184693
400,0.8470114,0.83188254
500,0.85650915,0.8414898
